date,home,visitor,hgoal,vgoal,FT,Season,result
2020-02-22,Levante UD,Real Madrid,1,0,1-0,2019,H
2020-02-23,CA Osasuna,Granada CF,0,3,0-3,2019,A
2020-02-23,CD Alaves,Athletic Bilbao,2,1,2-1,2019,H
2020-02-23,Real Valladolid,Espanyol Barcelona,2,1,2-1,2019,H
2020-02-23,Getafe CF,Sevilla FC,0,3,0-3,2019,A
2020-02-23,Atletico Madrid,Villarreal CF,3,1,3-1,2019,H
2020-02-28,Real Sociedad,Real Valladolid,1,0,1-0,2019,H
2020-02-29,SD Eibar,Levante UD,3,0,3-0,2019,H
2020-02-29,Valencia CF,Real Betis,2,1,2-1,2019,H
2020-02-29,CD Leganes,CD Alaves,1,1,1-1,2019,D
2020-02-29,Granada CF,Celta Vigo,0,0,0-0,2019,D
2020-03-01,Sevilla FC,CA Osasuna,3,2,3-2,2019,H
2020-03-01,Athletic Bilbao,Villarreal CF,1,0,1-0,2019,H
2020-03-01,Espanyol Barcelona,Atletico Madrid,1,1,1-1,2019,D
2020-03-01,RCD Mallorca,Getafe CF,0,1,0-1,2019,A
2020-03-01,Real Madrid,FC Barcelona,2,0,2-0,2019,H
2020-03-06,CD Alaves,Valencia CF,1,1,1-1,2019,D
2020-03-07,SD Eibar,RCD Mallorca,1,2,1-2,2019,A
2020-03-07,Atletico Madrid,Sevilla FC,2,2,2-2,2019,D
2020-03-07,FC Barcelona,Real Sociedad,1,0,1-0,2019,H
2020-03-07,Getafe CF,Celta Vigo,0,0,0-0,2019,D
2020-03-08,CA Osasuna,Espanyol Barcelona,1,0,1-0,2019,H
2020-03-08,Real Valladolid,Athletic Bilbao,1,4,1-4,2019,A
2020-03-08,Levante UD,Granada CF,1,1,1-1,2019,D
2020-03-08,Villarreal CF,CD Leganes,1,2,1-2,2019,A
2020-03-08,Real Betis,Real Madrid,2,1,2-1,2019,H
2020-03-10,SD Eibar,Real Sociedad,1,2,1-2,2019,A
2020-06-11,Sevilla FC,Real Betis,2,0,2-0,2019,H
2020-06-12,Granada CF,Getafe CF,2,1,2-1,2019,H
2020-06-12,Valencia CF,Levante UD,1,1,1-1,2019,D
2020-06-13,Espanyol Barcelona,CD Alaves,2,0,2-0,2019,H
2020-06-13,Celta Vigo,Villarreal CF,0,1,0-1,2019,A
2020-06-13,CD Leganes,Real Valladolid,1,2,1-2,2019,A
2020-06-13,RCD Mallorca,FC Barcelona,0,4,0-4,2019,A
2020-06-14,Athletic Bilbao,Atletico Madrid,1,1,1-1,2019,D
2020-06-14,Real Madrid,SD Eibar,3,1,3-1,2019,H
2020-06-14,Real Sociedad,CA Osasuna,1,1,1-1,2019,D
2020-06-15,Levante UD,Sevilla FC,1,1,1-1,2019,D
2020-06-15,Real Betis,Granada CF,2,2,2-2,2019,D
2020-06-16,Getafe CF,Espanyol Barcelona,0,0,0-0,2019,D
2020-06-16,Villarreal CF,RCD Mallorca,1,0,1-0,2019,H
2020-06-16,FC Barcelona,CD Leganes,2,0,2-0,2019,H
2020-06-17,SD Eibar,Athletic Bilbao,2,2,2-2,2019,D
2020-06-17,Real Valladolid,Celta Vigo,0,0,0-0,2019,D
2020-06-17,CA Osasuna,Atletico Madrid,0,5,0-5,2019,A
2020-06-18,CD Alaves,Real Sociedad,2,0,2-0,2019,H
2020-06-18,Real Madrid,Valencia CF,3,0,3-0,2019,H
2020-06-19,Granada CF,Villarreal CF,0,1,0-1,2019,A
2020-06-19,RCD Mallorca,CD Leganes,1,1,1-1,2019,D
2020-06-19,Sevilla FC,FC Barcelona,0,0,0-0,2019,D
2020-06-20,Espanyol Barcelona,Levante UD,1,3,1-3,2019,A
2020-06-20,Athletic Bilbao,Real Betis,1,0,1-0,2019,H
2020-06-20,Getafe CF,SD Eibar,1,1,1-1,2019,D
2020-06-20,Atletico Madrid,Real Valladolid,1,0,1-0,2019,H
2020-06-21,Celta Vigo,CD Alaves,6,0,6-0,2019,H
2020-06-21,Valencia CF,CA Osasuna,2,0,2-0,2019,H
2020-06-21,Real Sociedad,Real Madrid,1,2,1-2,2019,A
2020-06-22,Villarreal CF,Sevilla FC,2,2,2-2,2019,D
